,1. Luděk Ondráček,,31
,2. Jiří Juhaňák,,24
,3. Tomáš Brom,,22
,4. Martin Nagy,,17
,5. René Slezák,,11
,1. Filip Kuhn,,"5,07"
,2. Ondřej Kolajta,,"6,01"
,3. Filip Létal,,"7,17"
,,,
,,,
,1. Luděk Ondráček,,18
,2. Tomáš Brom,,13
,3. Martin Nagy,,12
,4. René Slezák,,8
,5. Adam Hemerka,,7
,1. Filip Kuhn,,3
,2. Ondřej Kolajta,,1
,3. Filip Létal,,0
,,,
,,,
,1. Jiří Juhaňák,,19
,2. Luděk Ondráček,,13
,3. Tomáš Brom,,9
,4. Matěj Kostka,,8
,5. David Sládeček,,7
,1. Filip Kuhn,,25
,2. Dominik Dvořák,,13
,3. David Sládeček,,12
,4. Adam Hemerka,,10
,5. Marek Fuchs,,10
